"X","Y","Z","Intensity"
3.265,-2.580,1.115,134.000
3.251,-2.589,1.113,132.000
3.242,-2.599,1.113,133.000
3.237,-2.615,1.115,134.000
3.227,-2.624,1.114,132.000
3.226,-2.643,1.118,132.000
3.215,-2.651,1.117,132.000
3.203,-2.660,1.116,133.000
3.201,-2.677,1.118,136.000
3.195,-2.693,1.120,132.000
3.186,-2.703,1.120,133.000
3.174,-2.712,1.119,133.000
3.166,-2.724,1.119,134.000
3.162,-2.741,1.121,134.000
3.159,-2.756,1.123,134.000
3.152,-2.770,1.124,134.000
3.140,-2.778,1.123,134.000
3.127,-2.786,1.122,134.000
3.123,-2.803,1.124,134.000
3.116,-2.816,1.125,134.000
3.112,-2.832,1.127,134.000
3.095,-2.837,1.125,132.000
3.086,-2.846,1.125,133.000
3.096,-2.877,1.133,130.000
3.096,-2.897,1.136,137.000
3.074,-2.898,1.132,133.000
3.061,-2.903,1.131,134.000
3.059,-2.922,1.134,138.000
3.058,-2.941,1.137,138.000
3.053,-2.957,1.139,134.000
3.043,-2.967,1.139,135.000
3.024,-2.970,1.136,134.000
3.019,-2.986,1.138,135.000
3.010,-2.998,1.138,133.000
3.012,-3.020,1.143,135.000
3.012,-3.042,1.147,135.000
2.991,-3.041,1.143,134.000
2.980,-3.052,1.143,136.000
2.972,-3.065,1.144,135.000
2.978,-3.092,1.150,134.000
2.968,-3.104,1.151,133.000
2.956,-3.113,1.150,134.000
2.943,-3.122,1.150,131.000
2.939,-3.139,1.152,134.000
2.941,-3.161,1.157,133.000
2.927,-3.169,1.156,131.000
2.917,-3.178,1.156,133.000
2.908,-3.192,1.157,132.000
2.902,-3.207,1.159,132.000
2.897,-3.225,1.162,129.000
2.893,-3.242,1.164,130.000
2.882,-3.254,1.165,133.000
2.866,-3.258,1.163,129.000
2.860,-3.275,1.165,131.000
2.861,-3.298,1.170,133.000
2.846,-3.304,1.168,129.000
2.844,-3.325,1.172,131.000
2.832,-3.336,1.172,134.000
2.816,-3.339,1.170,129.000
2.818,-3.365,1.176,133.000
2.804,-3.372,1.175,130.000
2.803,-3.395,1.180,134.000
2.778,-3.388,1.174,130.000
2.783,-3.419,1.181,133.000
2.768,-3.424,1.180,132.000
2.763,-3.443,1.183,133.000
2.747,-3.448,1.181,129.000
2.750,-3.477,1.188,134.000
2.732,-3.477,1.185,132.000
2.728,-3.500,1.189,132.000
2.724,-3.518,1.192,131.000
2.706,-3.522,1.190,132.000
2.698,-3.535,1.192,130.000
2.700,-3.565,1.198,131.000
2.691,-3.577,1.199,131.000
2.684,-3.596,1.202,132.000
2.669,-3.600,1.201,130.000
2.659,-3.615,1.202,132.000
2.654,-3.633,1.206,131.000
2.647,-3.650,1.208,130.000
2.640,-3.667,1.211,124.000
2.629,-3.680,1.212,124.000
2.615,-3.687,1.211,127.000
2.613,-3.710,1.216,128.000
2.604,-3.724,1.217,127.000
2.600,-3.748,1.222,130.000
2.585,-3.753,1.221,130.000
2.571,-3.762,1.221,130.000
2.572,-3.790,1.227,131.000
2.563,-3.806,1.229,131.000
2.549,-3.815,1.229,129.000
2.540,-3.830,1.231,130.000
2.532,-3.845,1.234,131.000
2.513,-3.848,1.231,129.000
2.518,-3.882,1.240,130.000
2.510,-3.901,1.243,131.000
2.496,-3.909,1.243,131.000
2.486,-3.925,1.245,130.000
2.478,-3.939,1.247,130.000
2.474,-3.965,1.252,130.000
2.464,-3.980,1.254,128.000
2.452,-3.994,1.256,127.000
2.440,-4.004,1.256,128.000
2.433,-4.024,1.260,125.000
2.426,-4.044,1.264,45.000
2.418,-4.064,1.267,36.000
3.825,-6.475,2.015,36.000
3.802,-6.489,2.015,36.000
3.782,-6.505,2.016,36.000
3.759,-6.521,2.017,36.000
3.740,-6.538,2.018,36.000
3.711,-6.541,2.015,36.000
3.685,-6.551,2.014,36.000
3.666,-6.571,2.016,37.000
3.642,-6.582,2.016,36.000
3.620,-6.596,2.016,36.000
3.599,-6.606,2.016,36.000
3.570,-6.611,2.013,38.000
3.549,-6.624,2.014,36.000
3.533,-6.652,2.018,38.000
3.513,-6.665,2.019,36.000
3.480,-6.663,2.014,36.000
3.462,-6.685,2.017,46.000
3.420,-6.663,2.007,39.000
3.414,-6.706,2.016,24.000
3.387,-6.715,2.015,8.000
2.228,-4.452,1.334,40.000
2.212,-4.458,1.333,33.000
2.185,-4.443,1.327,32.000
2.190,-4.494,1.340,48.000
2.168,-4.486,1.335,24.000
2.158,-4.504,1.338,25.000
2.164,-4.554,1.351,71.000
2.153,-4.576,1.355,108.000
2.143,-4.594,1.358,118.000
2.135,-4.619,1.363,112.000
2.119,-4.631,1.364,115.000
2.106,-4.645,1.367,112.000
2.099,-4.670,1.372,109.000
2.085,-4.682,1.373,103.000
2.076,-4.703,1.377,106.000
2.062,-4.717,1.380,103.000
2.048,-4.728,1.381,103.000
2.039,-4.755,1.386,109.000
2.029,-4.776,1.390,112.000
2.021,-4.806,1.397,119.000
2.005,-4.813,1.397,119.000
1.989,-4.826,1.399,118.000
1.982,-4.854,1.405,118.000
1.976,-4.890,1.413,115.000
1.964,-4.907,1.416,112.000
1.949,-4.919,1.418,106.000
1.936,-4.935,1.420,109.000
1.923,-4.955,1.424,106.000
1.911,-4.971,1.427,75.000
1.905,-5.007,1.435,105.000
1.885,-5.008,1.434,112.000
1.871,-5.026,1.437,112.000
1.862,-5.054,1.443,115.000
1.853,-5.082,1.449,118.000
1.842,-5.107,1.455,115.000
1.828,-5.124,1.458,115.000
1.815,-5.145,1.462,112.000
1.804,-5.173,1.468,112.000
1.793,-5.195,1.473,106.000
1.780,-5.220,1.478,106.000
1.763,-5.226,1.478,106.000
1.749,-5.247,1.482,106.000
1.737,-5.269,1.487,109.000
1.725,-5.300,1.493,103.000
1.703,-5.286,1.488,28.000
1.689,-5.307,1.492,21.000
1.676,-5.328,1.496,59.000
1.666,-5.365,1.505,111.000
1.653,-5.387,1.510,124.000
1.641,-5.413,1.516,122.000
1.624,-5.426,1.518,121.000
1.608,-5.445,1.521,119.000
1.594,-5.464,1.525,118.000
1.582,-5.497,1.533,124.000
1.571,-5.526,1.539,122.000
1.554,-5.545,1.543,124.000
1.544,-5.578,1.551,121.000
1.537,-5.628,1.563,121.000
1.521,-5.654,1.569,119.000
1.494,-5.632,1.561,57.000
1.461,-5.586,1.547,54.000
1.437,-5.573,1.542,54.000
1.416,-5.568,1.539,55.000
1.392,-5.560,1.536,54.000
1.372,-5.557,1.534,51.000
1.345,-5.536,1.527,48.000
1.323,-5.519,1.521,50.000
1.299,-5.507,1.516,54.000
1.276,-5.493,1.511,54.000
1.252,-5.480,1.506,56.000
1.227,-5.458,1.499,55.000
1.201,-5.435,1.491,52.000
1.184,-5.440,1.492,57.000
1.160,-5.420,1.485,52.000
1.142,-5.429,1.487,57.000
1.116,-5.405,1.479,52.000
1.095,-5.390,1.474,51.000
1.073,-5.380,1.470,51.000
1.054,-5.376,1.468,51.000
